[00:24:48] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-131, y=33, z=-243} gt{x=-131, y=33, z=-245}
[01:41:36] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1065, y=144, z=-2006} gt{x=-1064, y=144, z=-2007}
[01:41:36] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1065, y=144, z=-2006} gt{x=-1064, y=144, z=-2007}
[01:41:36] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1065, y=144, z=-2006} gt{x=-1064, y=144, z=-2007}
[01:41:36] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1065, y=144, z=-2006} gt{x=-1064, y=144, z=-2007}
[01:41:36] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1065, y=144, z=-2006} gt{x=-1064, y=144, z=-2007}
[01:41:36] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1065, y=144, z=-2006} gt{x=-1064, y=144, z=-2007}
[01:41:36] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1065, y=144, z=-2006} gt{x=-1064, y=144, z=-2007}
[01:42:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1058, y=150, z=-2003} gt{x=-1058, y=149, z=-2002}
[01:42:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1058, y=150, z=-2003} gt{x=-1058, y=149, z=-2002}
[01:42:03] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1058, y=150, z=-2003} gt{x=-1058, y=149, z=-2002}
[01:47:05] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1062, y=153, z=-1995} gt{x=-1062, y=152, z=-1995}
[01:47:05] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1062, y=153, z=-1995} gt{x=-1062, y=152, z=-1995}
[01:47:05] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1062, y=153, z=-1995} gt{x=-1062, y=152, z=-1995}
[01:47:05] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1062, y=153, z=-1995} gt{x=-1062, y=152, z=-1995}
[01:47:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1066, y=156, z=-1986} gt{x=-1066, y=157, z=-1985}
[01:47:22] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1066, y=156, z=-1986} gt{x=-1066, y=157, z=-1985}
[01:47:42] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1069, y=158, z=-1986} gt{x=-1064, y=158, z=-1985}
[01:51:06] [Server thread/WARN]: Mismatch in destroy block pos: gt{x=-1090, y=154, z=-1980} gt{x=-1097, y=155, z=-1985}
[03:54:01] [Server thread/INFO]: Stopping the server
[03:54:01] [Server thread/INFO]: Stopping server
[03:54:01] [Server thread/INFO]: Saving players
[03:54:01] [Server thread/INFO]: xs1nus lost connection: Disconnected
[03:54:01] [Server thread/INFO]: xs1nus left the game
[03:54:01] [Server thread/INFO]: Saving worlds
[03:54:03] [Server thread/INFO]: Saving chunks for level 'ServerLevel[xs1nuFox]'/minecraft:overworld
[03:54:03] [Server thread/INFO]: Saving chunks for level 'ServerLevel[xs1nuFox]'/minecraft:the_nether
[03:54:03] [Server thread/INFO]: Saving chunks for level 'ServerLevel[xs1nuFox]'/minecraft:the_end
[03:54:03] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[03:54:03] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[03:54:03] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[03:54:03] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
